tag,content
"定心,安神",心乱皆由外求，心静只因内收。
"定心,安神",浮躁是神散，静定是归根。
"定心,安神",事乱不必慌，心慌万事错。
"定心,安神",少思则神安，多欲则心烦。
"定心,安神",境本无扰，扰自心生。
"定心,安神",躁气一收，福气自来。
"定心,安神",当下安住，万虑皆息。
"定心,安神",心定一分，事顺一分。
"定心,安神",心为一身之主，万虑之根。
"定心,安神",心一散乱，万事皆非；心能收敛，百事可安。
"定心,安神",不随境转，不被事摇。
"定心,安神",境来则应，境去则空。
"定心,安神",事来尽心，事过不留。
"定心,安神",心正则气和，气和则态恭。
"定心,安神",遇人不卑不亢，遇事不惊不慌。
"定心,安神",内里修养到位，外在自然端庄。
"定心,安神",心躁则气浮，心定则气沉。
"定心,安神",气沉则稳重，稳重则成事。
"定心,安神",身安则心定，心定则道长。
"止念,空境",万事归零在事过，万般放下在心空。
"止念,空境",不复盘过往，不预支忧愁。
"止念,空境",内耗皆因执念，轻松皆因放下。
"止念,空境",无事寻忧，是最大自扰。
"止念,空境",心念不纠缠，心神不耗散。
"止念,空境",想得太多，是心性最累的苦。
"止念,空境",放下对错，即是清凉。
"止念,空境",心不留痕，事过无痕。
"止念,空境",人生多事，皆由贪心；思虑繁杂，皆由多欲。
"止念,空境",简一念，清一分。
"止念,空境",观喜而不狂喜，观怒而不暴怒。
"止念,空境",观得失而不动心，观荣辱而不变志。
"止念,空境",世间万物，皆是幻象；悲欢得失，皆是过客。
"止念,空境",能以本心观万事，不以万事乱本心。
"止念,空境",无事静心，有事专心，事止空心。
"忍辱,定性",受屈能安，心性自稳。
"忍辱,定性",逆境炼心，顺境养德。
"忍辱,定性",不辩是非，自清自明。
"忍辱,定性",人欺不是亏，心宽即是福。
"忍辱,定性",世间不顺，皆是打磨机缘。
"忍辱,定性",默然守心，胜过百句争辩。
"忍辱,定性",辱能咽下，心能升华。
"忍辱,定性",忍辱非懦弱退让，乃炼心定性。
"忍辱,定性",受谤不辩，吃亏不怨，逆境不躁。
"忍辱,定性",心一定，则万事从容。
"知止,寡欲",求全必苦，知足常安。
"知止,寡欲",得失随缘，心念归平。
"知止,寡欲",贪心一止，烦恼自休。
"知止,寡欲",万事有度，过度皆累。
"知止,寡欲",少一分强求，多一分从容。
"知止,寡欲",不执结果，自有归途。
"知止,寡欲",看淡取舍，心无捆绑。
"知止,寡欲",人心之乱，皆由多欲。
"知止,寡欲",寡欲非禁欲绝情，乃节制过分贪求。
"知止,寡欲",欲淡，则心静；心静，则百忧息。
"知止,寡欲",凡事过则伤，贪多则累。
"知止,寡欲",懂得止步，即是养心；懂得知足，即是安心。
"知止,寡欲",名利欲、胜负欲、占有欲、完美欲，皆是心神枷锁。
"知止,寡欲",贪多必累，求全必苦。
"宽厚,处世",待人宽厚，养心第一。
"宽厚,处世",不责人过，只省己心。
"宽厚,处世",人情淡淡，心神安安。
"宽厚,处世",不争对错，只修自心。
"宽厚,处世",包容一分，自在十分。
"宽厚,处世",缘分不强求，本心不强拧。
"宽厚,处世",对外柔和，对内清明。
"宽厚,处世",严于律己，宽以待人。
"宽厚,处世",少言少怨，少争少贪。
"宽厚,处世",善事不论大小，贵在存心宽厚。
"宽厚,处世",利己之心少一分，利他之心多一分。
"宽厚,处世",计较之心少一分，包容之心多一分。
"宽厚,处世",满则招忧，谦则纳福。
"宽厚,处世",不夸大功劳，不怨恨他人，不轻视旁人。
"宽厚,处世",心越虚，道越近；我越小，烦恼越少。
"宽厚,处世",路径窄处，留一步与人行；滋味浓时，减三分让人尝。
"立心,自省",大道在平常，心安即归途。
"立心,自省",生活是修行，起落是历练。
"立心,自省",稳住本心，不惧世事浮沉。
"立心,自省",平凡守心，即是真修。
"立心,自省",慢慢来，心静则稳。
"立心,自省",人道修好，天道自顺。
"立心,自省",欲修仙道，先修人道；人道未修，仙道远矣。
"立心,自省",不必远求玄妙，只在当下回头。
"立心,自省",回头即是修行，守心即是大道。
"立心,自省",返观内照，自省己过。
"立心,自省",凡人烦恼，皆由平日不肯自省，专责他人，不检自己。
"立心,自省",修行第一功，莫过于时时忏悔，刻刻省察。
"立心,自省",先正己，后正人；先修心，后劝世。
"立心,自省",本心原本清明，是欲望执念层层遮蔽。
"立心,自省",修行即是去污存清、返本归真。
"平和,中和",大怒伤气，大喜伤神，中和养心。
"平和,中和",情绪来时观心，情绪去时空心。
"平和,中和",气沉则稳，气浮则乱。
"平和,中和",先静心，再处事。
"平和,中和",心平气和，万事可渡。
"平和,中和",慧从静定中生，定从寡欲中来。
"平和,中和",遇事能明，遇乱能静。
"平和,中和",明而不躁，静而不昏。
"平和,中和",心无遮蔽，杂念不生。
"平和,中和",私欲蔽心，则昏暗；公道存心，则光明。
"平和,中和",不欺己心，不昧本心，待人坦荡，处世磊落。
"平和,中和",清净非避世冷清，乃心无杂染。
"平和,中和",身在纷扰，心自清凉。
"平和,中和",寡欲则清，自省则净。
"平和,中和",调息以安心，不刻意炼气。
"平和,中和",烦躁之时，放缓呼吸；杂念之时，调匀气息。
"悟道,全真",红尘炼心，清静立身。
"悟道,全真",向内自省，万事皆宽。
"悟道,全真",寡欲静心，静定安身。
"悟道,全真",事来则应，事去则空。
"悟道,全真",顺境修福，逆境修心。
"悟道,全真",做人安稳，即是大道。
"悟道,全真",修道之果，不在飞升玄妙，而在立身安心。
"悟道,全真",心无烦恼，身无躁妄，待人平和，处世从容，即是正果。
"悟道,全真",不必求奇特，只求平常；不必求高远，只求心安。
"悟道,全真",入世而不染尘，处事而不牵心。
"悟道,全真",积极做事，淡泊结果。
"悟道,全真",入世而不随俗，处世而不沾染。
"悟道,全真",大道在平常，不在奇特；道在本心，不在远方。
"悟道,全真",收心、自省、寡欲、谦和、忍辱、安分、入世不染，便是全真大道。
"悟道,全真",宠辱不惊，闲看庭前花开花落；去留无意，漫随天外云卷云舒。
"悟道,全真",静中观心，真妄毕见；忙里偷闲，尘俗自远。
"悟道,全真",处世不必邀功，无过便是功；与人不求感德，无怨便是德。
"悟道,全真",磨难之中，最见心性；繁华之时，最见定力。
"悟道,全真",收敛浮气，涵养静心，入世而不随俗，处事而不执念。
"悟道,全真",少欲则心静，心静则事理明。
