source_text,translated_text,mindset_tag,source_name
静中观心，真妄毕见；忙里偷闲，尘俗自远。,,,菜根谭
处世不必邀功，无过便是功；与人不求感德，无怨便是德。,,,菜根谭
忧勤是美德，太苦则无以适性怡情；淡泊是高风，太枯则无以济人利物。,,,菜根谭
宠辱不惊，闲看庭前花开花落；去留无意，漫随天外云卷云舒。,,,菜根谭
念头起处，才觉向欲路上去，便挽从理路上来。,,,菜根谭
事来心始现，事去心随空。,,,菜根谭
君子之心事，天青日白；小人之心机，波谲云诡。,,,菜根谭
磨难之中，最见心性；繁华之时，最见定力。,,,菜根谭
收敛浮气，涵养静心，入世而不随俗，处事而不执念。,,,菜根谭
少欲则心静，心静则事理明，与全真寡欲收心一脉相通。,,,菜根谭
路径窄处，留一步与人行；滋味浓时，减三分让人尝。此是涉世安乐法。,,,菜根谭
立身不高一步立，如尘里振衣、泥中濯足，如何超达？处世不退一步处，如飞蛾投烛、羝羊触藩，如何安乐？,,,菜根谭
纷扰固溺志之场，而枯寂亦槁心之地。故学者当栖心玄默，以宁吾真体；亦当适志恬愉，以养吾圆机。,,,菜根谭
一念清明，则白日青天；一念贪欲，则暗夜幽谷。,,,菜根谭
待人宽一分是福，处事退一步是路。,,,菜根谭
