source_text,translated_text,mindset_tag,source_name
常月曰：欲修仙道，先修人道；人道未修，仙道远矣。浊世众生，不知性命之根，终日奔波，向外驰求，贪名逐利，恋酒迷花，被恩爱牵缠，被是非扰乱，六根妄动，七情奔驰，终日在烦恼业海中漂泊，不肯回头，深为可悯。修道之士，先要看破情，割舍俗念。凡情一断，真性自现；俗念一除，心光自明。不必远求玄妙，只在当下回头。回头即是修行，守心即是大道。,王常月说：想要修行大道，必须先修好做人的根本修养；做人的心性根基不稳，悟道修行就无从谈起。世间普通人，不明白本心与精气神的本源，整日忙碌奔波，一味向外追逐名利外物，贪图虚名、争夺利益、沉溺享乐，被爱恨情仇牵绊，被是非纷争扰乱心神。感官胡乱躁动，情绪肆意泛滥，常年在焦虑、内耗、烦恼中沉浮，不肯收心自省，实在令人惋惜。真正修行的人，首先要看破世俗虚妄情绪，放下多余执念。世俗执念一断，清净本心自然显现；杂念消除，内心智慧自然清明。不用去追寻遥远玄妙的东西，只在当下收回向外攀缘的心。懂得向内自省就是修行，守住本心就是大道。,修行先做人，烦恼源于向外求，静心在于回头收心,龙门心法
皈依者，归依自性三宝也。道是自性之体，经是自性之用，师是自性之觉。世人向外求佛求道，拜天拜地，礼拜神明，殊不知自家方寸之内，自有真道、真经、真师。向外皈依，愈求愈迷；向内皈依，一归即正。皈依者，收散乱之心，归清净之性；依正直之念，依慈悲之行。,所谓皈依，是回归、依靠自己本心当中的三样根本：本心本体为道，本心智慧为经，本心觉悟为师。普通人总向外寻求大道、崇拜外在神明，却不知道自己内心方寸之间，本就存在真实的道理、智慧与觉悟。向外追逐依靠外物，越求越迷茫；向内回归本心，即刻端正心性。皈依的真正含义：收回散乱浮躁的心，回归清净本性；依靠正直心念，坚守宽厚待人的行为。,不向外寄托，向内觉悟；心性自足，减少外求焦虑,龙门心法
忏悔者，非告神诉鬼，求其赦免。乃是返观内照，自省己过。一念之差，即为过；一心之偏，即为愆。过从心生，亦从心灭。知过而不改，谓之罪；知过能自省，谓之悔。凡人烦恼，皆由平日不肯自省，专责他人，不检自己。修行第一功，莫过于时时忏悔，刻刻省察。,忏悔，并不是向神明诉说祈求宽恕。而是反观内心，反省自己的过错。一个念头偏差，就是过失；心念偏激偏执，就是过错。一切过失由心念而起，也可以由心念消散。知道错误却不改正，就是执念罪障；知道过错愿意自省，就是悔改。普通人所有痛苦内耗，根源都是不肯反省自己，习惯指责别人，不检视自身。修行第一件功夫，就是时刻自省、觉察心念。,内耗源于责人不责己，忏悔 = 自我觉察，情绪向内归因,龙门心法
断缘者，非绝人避世、离群隐居。乃断绝虚妄外缘，不被俗事牵引，不被人情拖累。应酬过多，则心乱；思虑过繁，则神疲；爱恨太深，则志昏。外缘不断，本心不宁；外缘若清，心神自定。入世而不染尘，处事而不牵心，方是真断缘。,断缘，不是远离人群、逃避现实、隐居避世。而是断绝无意义的虚妄牵绊，不被琐事拉扯心神，不被多余人情拖累。无意义社交太多，内心就混乱；胡思乱想太多，精神就疲惫；爱恨执念太重，心智就昏沉。外在牵绊不清净，本心就不得安宁；减少无谓外缘，心神自然安定。身在俗世做事，却不被俗世污染；处理事务而不执念于心，才是真正的断缘。,全真入世不避世，精简外缘减少精神内耗，做事不执念,龙门心法
心者，一身之主，万虑之根。心一散乱，万事皆非；心能收敛，百事可安。凡人之心，终日追逐声色名利，如野马狂奔，无有止息。收心者，制其妄念，息其妄想，不随境转，不被事摇。境来则应，境去则空；事来尽心，事过不留。此乃收心正法。,心是整个人的主宰，所有思虑的根源。心念一散乱，做事做人都会出错；心念能够收敛安稳，一切事情都从容。普通人的心，整天追逐感官享乐、名利得失，像狂奔的野马无法停歇。收心，就是克制虚妄杂念，停止胡思乱想，不被环境左右情绪，不被事情动摇本心。事情来了就坦然应对，事情过去就清空心绪；做事尽力而为，做完不再牵挂纠结。这才是收心的正道。,情绪稳定核心在收心，事来应对、事过放下，反精神内耗,龙门心法
简事者，省事、简欲、简思也。人生多事，皆由贪心；思虑繁杂，皆由多欲。无事寻事，闲中生忧，便是自扰。真修之人，非避事，乃择事；不废事，不多事。分内之事尽心，分外之事不攀。少一事，少一扰；简一念，清一分。,简事，就是精简事务、节制欲望、减少胡思乱想。人生烦恼繁杂，都来自贪心；思虑焦虑过多，都来自欲望太重。本来无事自己找事，清闲之时胡思乱想忧愁，都是自我扰乱。真正修行的人，不是逃避事情，而是选择该做的事；不逃避责任，不无端多事。分内责任尽力做好，不属于自己的不去攀求。少一件多余事，少一分烦恼；少一分杂念，内心清净一分。,精简欲望与杂念，拒绝自寻烦恼，专注本分减少焦虑,龙门心法
观者，观心也，非观外物。观喜而不狂喜，观怒而不暴怒，观得失而不动心，观荣辱而不变志。世间万物，皆是幻象；悲欢得失，皆是过客。能以本心观万事，不以万事乱本心，谓之真观。,观照，是观察自己的心，不是观察外在事物。看见喜悦不狂喜放纵，觉察愤怒不肆意爆发，面对得失内心不动，遭遇荣辱不改本心。世间一切事物都是暂时表象，悲欢得失都是短暂经过。能用清净本心看待万事万物，不让外界扰乱本心，叫作真正的观照。,情绪觉察，旁观者心态，不因外界起伏扰动内心,龙门心法
慧者明心，定者安心。无慧之定，是枯坐顽空；无定之慧，是浮躁小聪明。慧从静定中生，定从寡欲中来。遇事能明，遇乱能静；明而不躁，静而不昏，是为慧定双修。,智慧用来明辨本心，静定用来安顿内心。没有智慧的静坐，只是麻木放空；没有静定的聪明，只是浮躁小聪明。智慧从安静沉稳中生出，静定从节制欲望中来。遇到事情看得明白，遇到混乱保持冷静；通透而不急躁，安静而不昏沉，就是智慧与静定一同修养。,冷静 + 通透结合，拒绝浮躁小聪明，修炼沉稳心性,龙门心法
通明者，心无遮蔽，杂念不生。私欲蔽心，则昏暗；公道存心，则光明。不欺己心，不昧本心，待人坦荡，处世磊落。心通，则事理通；心明，则万事明。,通明，就是内心没有遮蔽，私心杂念不起。私欲遮蔽内心，人就迷茫昏暗；心怀公道坦荡，内心就光明。不欺骗自己本心，做人坦荡正直，待人真诚磊落。内心通透，看待事理就通透；本心清明，万事都看得清楚。,私心 = 迷茫，坦荡 = 心安，正直是心性光明根本,龙门心法
修道之果，不在飞升玄妙，而在立身安心。心无烦恼，身无躁妄，待人平和，处世从容，即是正果。不必求奇特，只求平常；不必求高远，只求心安。人道圆满，即是仙道。,修行的结果，不在于神秘玄妙的异象，而在于立身端正、内心安宁。内心没有烦恼焦虑，行为不浮躁狂妄，待人平和，处事从容，就是修行正果。不用追求奇异特殊，只求平常心；不用追求遥远玄妙，只求内心安稳。做人修养圆满，就是最高修行。,全真修行终极：心安、平和、从容，落地世俗心性,龙门心法
